date,headline,url
2012-06-18,Agencies Accelerate TASER X2 Adoption,https://investor.axon.com/press-releases/press-release-details/2012/Agencies-Accelerate-TASER-X2-Adoption/default.aspx
2012-06-12,Oregon State Police Orders 454 TASER X2 ECDs,https://investor.axon.com/press-releases/press-release-details/2012/Oregon-State-Police-Orders-454-TASER-X2-ECDs/default.aspx
2012-05-23,TASER Begins Shipping AXON Flex On-Officer Cameras,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Begins-Shipping-AXON-Flex-On-Officer-Cameras/default.aspx
2012-05-16,Michigan Department of Corrections and Hammond Police Department Deploy TASER X2 with TASER CAM HD,https://investor.axon.com/press-releases/press-release-details/2012/Michigan-Department-of-Corrections-and-Hammond-Police-Department-Deploy-TASER-X2-with-TASER-CAM-HD/default.aspx
2012-04-26,TASER International Reports First Quarter Results Q1 Sales of $25.6 Million With Operating Income of $6.5 Million,https://investor.axon.com/press-releases/press-release-details/2012/TASER-International-Reports-First-Quarter-Results-Q1-Sales-of-256-Million-With-Operating-Income-of-65-Million/default.aspx
2012-04-23,"TASER to Release First Quarter 2012 Earnings on April 26, 2012",https://investor.axon.com/press-releases/press-release-details/2012/TASER-to-Release-First-Quarter-2012-Earnings-on-April-26-2012/default.aspx
2012-04-02,Mesa Police Department Pre-Orders AXON Flex On-Officer Cameras,https://investor.axon.com/press-releases/press-release-details/2012/Mesa-Police-Department-Pre-Orders-AXON-Flex-On-Officer-Cameras/default.aspx
2012-03-19,TASER Introduces Breakthrough AXON Flex Video System,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Introduces-Breakthrough-AXON-Flex-Video-System/default.aspx
2012-03-19,Mesquite (TX) Police Department Orders 200 TASER X2 ECDs,https://investor.axon.com/press-releases/press-release-details/2012/Mesquite-TX-Police-Department-Orders-200-TASER-X2-ECDs/default.aspx
2012-03-06,Georgia Bureau of Investigation Orders 125 TASER X2 ECDs,https://investor.axon.com/press-releases/press-release-details/2012/Georgia-Bureau-of-Investigation-Orders-125-TASER-X2-ECDs/default.aspx
2012-02-23,TASER International Reports Fourth Quarter Results,https://investor.axon.com/press-releases/press-release-details/2012/TASER-International-Reports-Fourth-Quarter-Results/default.aspx
2012-02-14,"TASER to Release Fourth Quarter 2011 Earnings on February 23, 2012",https://investor.axon.com/press-releases/press-release-details/2012/TASER-to-Release-Fourth-Quarter-2011-Earnings-on-February-23-2012/default.aspx
2012-02-13,Tom Smith Retires As Chairman of TASER International to Join New Start-up as CEO and Co-Founder,https://investor.axon.com/press-releases/press-release-details/2012/Tom-Smith-Retires-As-Chairman-of-TASER-International-to-Join-New-Start-up-as-CEO-and-Co-Founder/default.aspx
2012-02-07,TASER Begins Shipping New TASER CAM HD Recorders,https://investor.axon.com/press-releases/press-release-details/2012/TASER-Begins-Shipping-New-TASER-CAM-HD-Recorders/default.aspx
2012-01-25,Chicago Police Department Upgrades to New TASER X2 ECD,https://investor.axon.com/press-releases/press-release-details/2012/Chicago-Police-Department-Upgrades-to-New-TASER-X2-ECD/default.aspx
2012-01-18,/ CORRECTION - Chicago Police Department Upgrades to New TASER X2,https://investor.axon.com/press-releases/press-release-details/2012/-CORRECTION---Chicago-Police-Department-Upgrades-to-New-TASER-X2/default.aspx
